pt,p_throws,delta_3b_in,d_stuff,n
SL,R,27,8.64966600984876,20362
CU,R,27,11.3045873792091,11619
FF,R,27,0.785022066490436,52611
CH,R,27,0.266351020529606,16724
FS,R,27,1.24728176701049,6921
ST,R,27,5.60577789080386,12577
CU,L,27,-0.430607840855781,4418
SI,L,27,0.938754188235582,11579
ST,L,27,-1.43525179729989,4904
FF,L,27,0.330771264250409,21223
CH,L,27,3.7559022039096,9928
SL,L,27,-1.89319713139975,8724
FC,L,27,-0.786593162553717,4405
FS,L,27,3.87500310076593,781
SI,R,26,0.245894440686328,25818
FC,R,26,5.24818040185729,13054
SL,R,26,7.93339370911895,20362
CU,R,26,10.5625813042472,11619
FF,R,26,0.648126748504718,52611
CH,R,26,0.15772275199055,16724
FS,R,26,1.0628849531464,6921
ST,R,26,5.22596718284025,12577
CU,L,26,-0.382194083153728,4418
SI,L,26,0.877692137220268,11579
ST,L,26,-1.281831289181,4904
FF,L,26,0.304541624100852,21223
CH,L,26,3.55999916323521,9928
SL,L,26,-1.84655758752801,8724
FC,L,26,-0.768664873115513,4405
FS,L,26,3.71378208804899,781
SI,R,25,0.196162185206329,25818
FC,R,25,4.73304592808802,13054
SL,R,25,7.25303649145543,20362
CU,R,25,9.84050355568643,11619
FF,R,25,0.532809785522674,52611
CH,R,25,0.061568422718611,16724
FS,R,25,0.905698733197059,6921
ST,R,25,4.93158950546298,12577
CU,L,25,-0.335310913422355,4418
SI,L,25,0.826781244057643,11579
ST,L,25,-1.17715182440113,4904
FF,L,25,0.282244491661994,21223
CH,L,25,3.39571660135624,9928
SL,L,25,-1.79545085278377,8724
FC,L,25,-0.750543966483077,4405
FS,L,25,3.60193309756688,781
SI,R,24,0.142955172146324,25818
FC,R,24,4.20106182931511,13054
SL,R,24,6.59039306015167,20362
CU,R,24,9.05459268844397,11619
FF,R,24,0.431941964961735,52611
CH,R,24,-0.0240824796837329,16724
FS,R,24,0.77073673387028,6921
ST,R,24,4.59030787812736,12577
CU,L,24,-0.279755458934263,4418
SI,L,24,0.757180035781777,11579
ST,L,24,-1.02884995809659,4904
FF,L,24,0.257344659534411,21223
CH,L,24,3.21548494358,9928
SL,L,24,-1.73583280771268,8724
FC,L,24,-0.727413841190473,4405
FS,L,24,3.41649614146967,781
SI,R,23,0.101106837398891,25818
FC,R,23,3.70813125474003,13054
SL,R,23,5.94712656330395,20362
CU,R,23,8.28560308757502,11619
FF,R,23,0.343669507898106,52611
