channel,delta_in,L,R,wtd
haa + stance,33,6.81206593883719,4.23812642305068,5.48935059591845
haa + stance,36,8.01845087038877,5.05205685139768,6.49405806395449
haa only,-36,14.7374162440593,30.7836719045662,22.9833864497981
haa only,-33,12.6965924280348,27.0050765778421,20.0495435765689
haa only,-30,10.783132818792,23.4062074591049,17.2699730880158
haa only,-27,9.00163023977096,19.9548109285221,14.6303328809615
haa only,-24,7.35577162694606,16.6686349270735,12.1415356660903
haa only,-21,5.82665772070795,13.5282817910676,9.78442606016488
haa only,-18,4.41671843660994,10.5792044856166,7.58354298611885
haa only,-15,3.14746521820029,7.8527062452421,5.56542976648424
haa only,-12,2.05298661595466,5.47156257747634,3.80975007038113
haa only,-9,1.18038184706062,3.46233795717777,2.35305056759845
haa only,-6,0.538292202826706,1.87936413110886,1.2274523033718
haa only,-3,0.157657025115793,0.74120425163069,0.457534650481467
haa only,0,0,0,0
haa only,3,0.0391298850595274,-0.413743818883323,-0.193596250475404
haa only,6,0.243891285657852,-0.570922070953682,-0.174831113137858
haa only,9,0.591770591860388,-0.517639033257899,0.0216588531324145
haa only,12,1.07800878415959,-0.307902256026854,0.365806424495781
haa only,15,1.67200052431396,0.0290472598356443,0.827707378614358
haa only,18,2.35850636308582,0.469657933172245,1.38785076555861
haa only,21,3.13757902974784,0.995120369227955,2.03659630483993
haa only,24,3.99907665022215,1.60545869880049,2.76902630521095
haa only,27,4.92551893832032,2.26671016981456,3.55919034729482
haa only,30,5.93572456069526,2.99537760782013,4.42471701594964
haa only,33,7.03321098276094,3.7676037320283,5.35505623670007
haa only,36,8.26040738875966,4.5870341216033,6.37270678393385
release_pos_x only,-36,0.278282424080519,-2.04187281200602,-0.914016349803905
release_pos_x only,-33,0.266894440492508,-2.03091286827375,-0.913920012891113
release_pos_x only,-30,0.268448087116944,-1.9749653744914,-0.884414048135314
release_pos_x only,-27,0.282787772890822,-1.87640655017701,-0.8267951998047
release_pos_x only,-24,0.301839728614102,-1.73788891660918,-0.746351325558075
release_pos_x only,-21,0.320390662744194,-1.57270369749408,-0.652446865302752
release_pos_x only,-18,0.325895400180453,-1.40273320275317,-0.5624252310096
release_pos_x only,-15,0.295165630220488,-1.23792888094526,-0.4926724753862
release_pos_x only,-12,0.224831354990051,-1.07259926407483,-0.441902022264652
release_pos_x only,-9,0.129754030305492,-0.916192885177385,-0.407745015224715
release_pos_x only,-6,0.0345833483043907,-0.720746323776355,-0.353571128557004
release_pos_x only,-3,-0.0184556017034037,-0.425379491569967,-0.227568702157207
release_pos_x only,0,0,0,0
release_pos_x only,3,0.105594871947587,0.634953599147441,0.377625704871502
release_pos_x only,6,0.291515928578843,1.47004157922936,0.897145528877508
release_pos_x only,9,0.52607142750363,2.43353625321417,1.50629375812595
release_pos_x only,12,0.739894054431863,3.4021417083007,2.10798984565939
release_pos_x only,15,0.901141519280827,4.26948105544503,2.63208910267141
release_pos_x only,18,1.00516773574773,4.96112284065684,3.03808361472171
release_pos_x only,21,1.06798643587014,5.45277143426279,3.32127263673164
release_pos_x only,24,1.09390327801847,5.78737853095182,3.50582154206026
release_pos_x only,27,1.09833133106211,6.00866736981117,3.62169164217477
release_pos_x only,30,1.09041190492513,6.15777780432999,3.69446789855554
release_pos_x only,33,1.07612726128407,6.2901013564342,3.75552337410553
release_pos_x only,36,1.05591507768957,6.42235663888044,3.81366231546604
